Name ,Sex,Age,2022,2023,2024,2025,2026
WC - Cape Winelands District Municipality (DC2),Female,30-34,44274.220267,44124.870031,43822.901705,43506.496961,43236.103776
WC - Cape Winelands District Municipality (DC2),Female,35-39,43181.865043,44106.655110,44835.958279,45348.963228,45300.564944
WC - Cape Winelands District Municipality (DC2),Female,40-44,33939.146672,36064.036859,38258.181038,40265.257110,42081.906109
WC - Cape Winelands District Municipality (DC2),Female,45-49,28420.516040,28729.667261,29302.777492,30265.983832,31769.445256
WC - Cape Winelands District Municipality (DC2),Female,50-54,27046.795538,27059.208394,26975.697025,26982.966084,27249.651786
WC - Cape Winelands District Municipality (DC2),Female,55-59,23214.074395,24025.567779,24859.425082,25476.532596,25808.090047
WC - Cape Winelands District Municipality (DC2),Female,60-64,18955.894295,19480.930259,19967.354073,20559.320206,21263.537062
WC - Cape Winelands District Municipality (DC2),Female,65-69,14050.137607,14748.859027,15434.201877,16101.143400,16724.756409
WC - Cape Winelands District Municipality (DC2),Female,70-74,9792.472506,10132.860881,10561.826889,11052.210758,11593.302848
WC - Cape Winelands District Municipality (DC2),Female,75-79,6361.410156,6737.514166,7062.124651,7337.346839,7557.622080
WC - Cape Winelands District Municipality (DC2),Female,80+,4228.394659,4532.329472,4863.790987,5214.937963,5586.956869
WC - Overberg District Municipality (DC3),Male,0-4,14362.688212,14470.290022,14613.330246,14804.229526,15045.831802
WC - Overberg District Municipality (DC3),Male,5-9,13400.384885,13618.807242,13793.395939,13956.508414,14155.905173
WC - Overberg District Municipality (DC3),Male,10-14,12519.601008,12749.988361,12990.756236,13205.372095,13351.577988
WC - Overberg District Municipality (DC3),Male,15-19,11211.044557,11817.289897,12228.560230,12491.415644,12660.670490
WC - Overberg District Municipality (DC3),Male,20-24,11937.304779,11902.038378,12037.982514,12338.302337,12716.278443
WC - Overberg District Municipality (DC3),Male,25-29,14235.610918,13987.994919,13865.112536,13804.543679,13794.123495
WC - Overberg District Municipality (DC3),Male,30-34,15223.465250,15241.275740,15164.206754,15055.868337,14970.414688
WC - Overberg District Municipality (DC3),Male,35-39,14048.445648,14479.507731,14896.351474,15248.972017,15376.903538
WC - Overberg District Municipality (DC3),Male,40-44,10732.453600,11354.369590,12027.029851,12660.704744,13308.143795
WC - Overberg District Municipality (DC3),Male,45-49,9436.662405,9437.962155,9477.146933,9638.479300,10004.704376
WC - Overberg District Municipality (DC3),Male,50-54,8382.723725,8623.217776,8814.781570,8982.978368,9065.639255
WC - Overberg District Municipality (DC3),Male,55-59,6786.761636,7012.148611,7242.563467,7462.302064,7702.935909
WC - Overberg District Municipality (DC3),Male,60-64,5266.148181,5483.878900,5706.444342,5941.342861,6177.529554
WC - Overberg District Municipality (DC3),Male,65-69,3824.679767,3964.651352,4136.370709,4335.641053,4551.849984
WC - Overberg District Municipality (DC3),Male,70-74,2703.889443,2741.483094,2796.047311,2881.010818,2993.370318
WC - Overberg District Municipality (DC3),Male,75-79,1811.458181,1852.489392,1887.564550,1911.471494,1921.052259
WC - Overberg District Municipality (DC3),Male,80+,1317.601023,1281.118972,1250.701414,1226.553870,1206.669468
WC - Overberg District Municipality (DC3),Female,0-4,13836.567996,13917.202005,14067.004001,14279.820829,14546.729159
WC - Overberg District Municipality (DC3),Female,5-9,13235.329833,13437.665471,13599.543349,13770.732350,14009.849366
WC - Overberg District Municipality (DC3),Female,10-14,12321.564140,12612.736020,12879.124238,13076.873489,13194.461374
WC - Overberg District Municipality (DC3),Female,15-19,11119.298629,11690.031831,12138.560356,12504.177087,12778.956424
WC - Overberg District Municipality (DC3),Female,20-24,11500.071098,11433.626242,11509.797832,11751.324625,12119.281124
WC - Overberg District Municipality (DC3),Female,25-29,12998.163856,12860.936425,12808.244822,12766.225224,12731.119721
WC - Overberg District Municipality (DC3),Female,30-34,13809.065675,13794.127984,13722.116504,13651.018821,13612.966638
WC - Overberg District Municipality (DC3),Female,35-39,12946.689007,13333.829210,13674.530700,13941.116366,14018.960383
WC - Overberg District Municipality (DC3),Female,40-44,9941.194641,10568.246898,11231.170166,11858.533723,12454.086685
WC - Overberg District Municipality (DC3),Female,45-49,8543.610265,8604.292187,8711.740128,8930.501932,9323.868970
WC - Overberg District Municipality (DC3),Female,50-54,7957.957977,8051.072182,8131.769342,8219.002170,8337.558848
WC - Overberg District Municipality (DC3),Female,55-59,6992.933619,7209.423204,7426.362701,7594.308541,7709.445698
WC - Overberg District Municipality (DC3),Female,60-64,5887.783641,6044.170121,6206.859360,6406.205835,6630.443183
WC - Overberg District Municipality (DC3),Female,65-69,4616.414775,4773.366112,4935.417238,5105.659036,5280.866849
WC - Overberg District Municipality (DC3),Female,70-74,3635.121598,3657.471594,3708.425106,3785.188306,3887.356925
WC - Overberg District Municipality (DC3),Female,75-79,2710.676464,2823.094159,2903.470130,2947.926830,2950.557729
WC - Overberg District Municipality (DC3),Female,80+,1615.286999,1734.374583,1863.986964,2001.160954,2146.377019
WC- Garden Route (DC4),Male,0-4,28166.813996,28217.335249,28091.962657,27857.673274,27618.855026
WC- Garden Route (DC4),Male,5-9,26498.465948,26652.195195,26918.888478,27253.752704,27570.106959
WC- Garden Route (DC4),Male,10-14,27421.118423,27228.758300,27009.854841,26790.376061,26620.697765
WC- Garden Route (DC4),Male,15-19,24960.387578,25870.497261,26482.558977,26876.049981,27063.477306
WC- Garden Route (DC4),Male,20-24,23046.355632,23005.616350,23256.059434,23758.745433,24400.330146
WC- Garden Route (DC4),Male,25-29,24774.494164,24270.262006,23931.473446,23659.220244,23459.188295
WC- Garden Route (DC4),Male,30-34,26026.935699,25869.117142,25535.682177,25146.897090,24775.564883
WC- Garden Route (DC4),Male,35-39,23939.648938,24631.286262,25240.365800,25679.898846,25694.162144
WC- Garden Route (DC4),Male,40-44,18106.747704,19123.285075,20279.019660,21380.101501,22471.030257
WC- Garden Route (DC4),Male,45-49,16539.730514,16256.050232,16076.968516,16151.495193,16630.459426
WC- Garden Route (DC4),Male,50-54,16143.851037,16224.353187,16168.918247,16075.131535,15863.720828
WC- Garden Route (DC4),Male,55-59,13657.385032,14002.183021,14348.452852,14626.712547,14867.127173
WC- Garden Route (DC4),Male,60-64,10885.032575,11212.076062,11542.442873,11889.392100,12234.889781
WC- Garden Route (DC4),Male,65-69,8573.571643,8730.282048,8924.868097,9170.633414,9452.905711
WC- Garden Route (DC4),Male,70-74,6423.148432,6554.703375,6695.523414,6852.459974,7012.252510
WC- Garden Route (DC4),Male,75-79,4392.710260,4460.478909,4553.342033,4666.867339,4791.521094
WC- Garden Route (DC4),Male,80+,4104.809641,4038.638416,3991.274735,3964.083308,3951.288120
WC- Garden Route (DC4),Female,0-4,27554.424586,27571.708795,27460.561731,27258.855344,27055.297273
WC- Garden Route (DC4),Female,5-9,26101.116535,26269.750196,26543.074315,26906.153838,27295.715232
WC- Garden Route (DC4),Female,10-14,26949.953745,26777.452108,26594.145982,26372.487343,26172.475343
WC- Garden Route (DC4),Female,15-19,26154.112006,26828.874660,27168.715252,27356.973990,27401.290634
WC- Garden Route (DC4),Female,20-24,23859.228341,23951.955591,24351.304295,24960.580169,25656.390999
WC- Garden Route (DC4),Female,25-29,24559.706016,24127.450821,23866.783330,23675.751247,23573.234778
WC- Garden Route (DC4),Female,30-34,25989.426846,25666.154068,25186.436629,24698.655735,24282.261369
WC- Garden Route (DC4),Female,35-39,24535.941613,25162.719382,25665.525908,25955.126490,25807.176655
WC- Garden Route (DC4),Female,40-44,19640.004780,20556.581402,21606.355666,22628.657004,23590.573297
WC- Garden Route (DC4),Female,45-49,18657.812635,18312.734894,18058.798612,18064.461864,18469.620207
WC- Garden Route (DC4),Female,50-54,18504.311398,18474.653055,18374.929184,18224.634548,18083.621438
WC- Garden Route (DC4),Female,55-59,17304.504968,17566.277890,17806.351550,17937.081913,17948.506331
