Name ,Sex,Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WC - West Coast District Municipality (DC1),Female,75-79,1882.342680,1710.011564,1602.254951,1585.159560,1660.881869,1787.291347,1895.220864,1944.316247,1947.956546,1888.093649,1839.112178,1811.442644,1822.122804,1879.767736,1987.427495,2051.140531,2119.262296,2206.968977,2376.804826,2474.592419
WC - West Coast District Municipality (DC1),Female,80+,1380.228654,1433.327534,1477.448538,1520.326847,1562.288612,1500.581337,1441.030536,1372.505588,1318.239429,1267.454942,1251.874808,1236.564819,1222.073856,1209.616700,1199.495153,1156.624926,1116.084228,1076.475903,1037.596089,998.613437
WC - Cape Winelands District Municipality (DC2),Male,0-4,32135.440271,32209.426081,32519.897299,33069.736885,33834.189629,34844.204354,36214.860306,37462.077630,38639.869458,39624.060499,39994.290973,40129.505216,40125.394473,39948.708108,39657.767104,39607.115183,39866.026626,40164.306673,40513.283334,40896.097318
WC - Cape Winelands District Municipality (DC2),Male,5-9,32375.750424,32092.186666,32029.215254,32032.727927,32083.605248,32153.898188,32289.071449,32630.757642,33249.459301,34194.223958,35564.870064,37069.578341,38236.084521,39211.242484,39905.777065,40284.540538,40406.413080,40381.505850,40204.933318,39981.714726
WC - Cape Winelands District Municipality (DC2),Male,10-14,33412.977463,33291.040946,33064.233557,32872.003122,32728.498517,32645.577618,32398.776834,32392.979339,32435.467849,32405.297912,32440.737661,32492.229071,32843.513529,33554.847164,34516.051237,36004.314530,37547.518269,38751.255862,39706.003816,40321.615411
WC - Cape Winelands District Municipality (DC2),Male,15-19,33821.432782,34910.054008,35523.900032,35632.397756,35066.197010,35479.180600,35713.230476,35482.028306,34947.819104,34347.161445,34571.590142,34683.260156,34694.177757,34339.223292,33767.661254,34068.087414,34476.244049,34927.122081,35407.516022,35983.614353
WC - Cape Winelands District Municipality (DC2),Male,20-24,29780.849052,31526.790690,33700.932875,35926.859689,38054.224817,39233.524778,40058.655326,40959.383698,41893.828216,42227.025834,41793.396922,41385.159786,41095.109056,41090.300681,41225.952633,40616.244197,40068.404162,39978.601745,39978.385076,39841.833914
WC - Cape Winelands District Municipality (DC2),Male,25-29,27650.393683,27855.301384,28292.719992,29121.490964,30638.894752,32557.562668,35012.751030,37585.047761,39927.723895,42245.109746,43796.439055,44915.031825,45892.017595,46653.075164,46851.242154,46703.757362,46487.563916,46195.166082,45869.704455,45543.547454
WC - Cape Winelands District Municipality (DC2),Male,30-34,27440.961104,27795.199101,27918.704068,28039.720515,28075.245304,28360.261327,28820.251222,29494.440521,30552.583366,32295.756943,34341.205093,36853.433453,39422.152589,41684.552826,43851.089025,45695.332549,47024.781936,48083.229073,48707.949957,48487.926684
WC - Cape Winelands District Municipality (DC2),Male,35-39,24453.534600,25037.363881,25630.406642,26129.939207,26621.139163,27157.282446,27551.040656,27832.299928,28187.486277,28543.208398,28741.231120,29136.374347,29829.489938,30976.083619,32770.064291,34807.160370,37320.492171,39967.481144,42332.427231,44427.168403
WC - Cape Winelands District Municipality (DC2),Male,40-44,20113.979691,20858.750092,21604.355637,22321.172962,22984.516908,23552.395910,24111.136818,24734.254641,25323.825021,26028.392460,26579.739088,27006.261247,27333.878511,27740.724428,28129.630208,28441.624884,28931.100983,29680.940416,30838.730503,32507.818410
WC - Cape Winelands District Municipality (DC2),Male,45-49,16783.588188,17113.598564,17475.281378,17908.308725,18440.535447,18974.571830,19629.543632,20321.203617,21042.510071,21810.556741,22439.004534,23063.455246,23739.638304,24361.236011,25051.537703,25711.698540,26222.140771,26584.414732,27006.825215,27279.851058
WC - Cape Winelands District Municipality (DC2),Male,50-54,13778.611378,14150.503058,14496.960023,14818.145597,15113.602738,15338.598887,15609.247067,15934.744684,16365.823659,16944.093584,17516.318698,18190.897905,18902.814608,19628.170040,20362.613647,21047.440620,21719.869770,22412.048511,23052.359446,23615.051608
WC - Cape Winelands District Municipality (DC2),Male,55-59,10503.635621,10819.194987,11171.220628,11543.569154,11937.060164,12303.849381,12610.399476,12907.793997,13216.305753,13543.057804,13820.362664,14131.424980,14477.557117,14891.803532,15410.883121,16002.922633,16672.194902,17352.649710,18040.796499,18600.121417
WC - Cape Winelands District Municipality (DC2),Male,60-64,8261.924556,8316.403612,8422.649849,8571.192274,8776.229128,8983.396480,9255.102995,9570.256346,9925.008631,10317.945932,10688.497530,11009.575858,11321.954691,11626.119355,11921.369594,12216.045128,12524.032442,12849.618883,13232.649763,13510.779672
WC - Cape Winelands District Municipality (DC2),Male,65-69,6443.656424,6462.443020,6505.302484,6546.292794,6569.229166,6594.998234,6650.162129,6744.784088,6889.373735,7100.030564,7332.685503,7619.646333,7934.766344,8258.855396,8593.156582,8956.021672,9275.520882,9582.429758,9872.601803,9963.871563
WC - Cape Winelands District Municipality (DC2),Male,70-74,4321.743678,4419.480506,4468.465864,4502.715605,4524.608542,4550.190321,4579.945017,4645.798845,4731.964344,4813.541918,4888.773500,4971.314005,5078.280390,5216.971685,5399.666711,5629.648680,5901.287035,6191.926785,6482.176332,6620.328632
WC - Cape Winelands District Municipality (DC2),Male,75-79,2329.003655,2310.000305,2332.866035,2389.641505,2483.662328,2567.442159,2645.422433,2693.143745,2745.068469,2789.166493,2847.699240,2917.728345,2999.173580,3071.436077,3125.261033,3202.155009,3274.103063,3364.868345,3521.475785,3594.541876
WC - Cape Winelands District Municipality (DC2),Male,80+,1166.074839,1193.950197,1216.007835,1246.733053,1290.603236,1325.363568,1359.307149,1393.448774,1432.769354,1475.932578,1556.889234,1637.012720,1713.566204,1800.787529,1899.649196,1933.236237,1968.042996,2003.078822,2037.173709,2066.337653
WC - Cape Winelands District Municipality (DC2),Female,0-4,31251.587341,31263.465926,31466.339199,31879.713036,32489.743055,33330.224638,34636.297302,35914.228616,37152.306594,38210.498502,38659.756530,38875.427816,38928.658798,38778.884243,38503.159846,38446.197442,38692.400260,38996.807410,39365.004056,39742.811316
WC - Cape Winelands District Municipality (DC2),Female,5-9,31494.407155,31326.326938,31353.374966,31442.155564,31549.589430,31571.821070,31595.407708,31763.368130,32202.392376,33027.126164,34362.617887,35854.854866,37068.506178,38138.247705,38893.450318,39274.715344,39438.473868,39482.763597,39388.172111,39245.766897
WC - Cape Winelands District Municipality (DC2),Female,10-14,32407.721040,32368.031462,32239.562673,32134.027390,32070.485013,32065.288221,31932.439583,31974.808128,32016.363981,31935.157613,31941.439848,31921.012762,32139.067260,32702.917713,33596.840087,35157.137692,36801.612065,38072.285270,39053.745274,39644.162800
WC - Cape Winelands District Municipality (DC2),Female,15-19,33532.586205,34423.630045,34915.037936,35012.244855,34558.942009,34704.727450,34783.729533,34560.945406,34192.568512,33819.277445,34050.350745,34205.749265,34319.645214,34122.391585,33708.778891,33858.384416,34091.027522,34429.576128,34914.035119,35601.425299
WC - Cape Winelands District Municipality (DC2),Female,20-24,30005.303409,31473.448538,33343.272799,35340.436016,37214.010624,38009.214465,38585.647981,39171.427431,39774.335982,39921.209395,39499.012227,39155.534629,38992.948410,39123.113009,39410.176197,38980.235026,38603.587256,38631.932034,38744.681697,38716.360084
WC - Cape Winelands District Municipality (DC2),Female,25-29,27971.453961,28063.001965,28286.540798,28816.607135,29930.956149,31619.802444,33694.364112,35958.208492,37888.143767,39653.797144,40827.618809,41727.678304,42433.566743,42908.250287,42945.811325,42868.392232,42774.478232,42617.987987,42431.583459,42242.600281
WC - Cape Winelands District Municipality (DC2),Female,30-34,29258.634562,29064.700598,28629.079518,28202.690350,28016.267929,28185.433535,28348.004433,28848.416042,29686.910020,31068.750579,32894.959562,35033.289884,37232.606921,39188.853395,40955.331043,42323.750773,43372.341226,44145.899027,44582.680132,44335.493000
WC - Cape Winelands District Municipality (DC2),Female,35-39,26829.668376,27631.569624,28450.250210,28958.320650,29036.586607,28861.135688,28584.548339,28354.880354,28265.567365,28496.615499,28692.254715,28928.854917,29484.515315,30437.279682,31936.788133,33753.886406,35908.261237,38166.746325,40218.508500,41962.286503
WC - Cape Winelands District Municipality (DC2),Female,40-44,23641.067803,24096.091615,24468.224213,24920.829787,25492.630490,26019.110852,26709.591455,27540.720689,28170.300885,28534.468422,28509.615643,28427.319247,28269.577427,28212.524920,28463.355375,28783.847729,29120.638890,29719.283378,30687.067661,32131.297188
WC - Cape Winelands District Municipality (DC2),Female,45-49,19535.546813,20269.208077,20956.816772,21574.923732,22122.637519,22645.713350,23004.284396,23378.196233,23941.767868,24712.034248,25335.559113,26123.788020,26987.430687,27623.488248,27976.398082,28013.826968,27981.009814,27874.307843,27889.526492,28123.828738
WC - Cape Winelands District Municipality (DC2),Female,50-54,15486.790822,15929.344354,16469.038413,17007.406177,17570.197640,18117.253912,18794.042204,19468.583894,20155.115525,20830.293461,21503.898875,22009.119836,22469.012624,23035.803418,23754.294918,24438.895478,25258.807420,26106.513738,26727.567263,26977.746678
WC - Cape Winelands District Municipality (DC2),Female,55-59,12151.825595,12593.074845,12958.542005,13318.017280,13709.032372,14116.638361,14506.831633,15003.149578,15570.764033,16203.237198,16849.585400,17625.125361,18368.848290,19069.754655,19716.928128,20413.514199,20942.442557,21415.148565,21986.507117,22567.035609
WC - Cape Winelands District Municipality (DC2),Female,60-64,8527.064220,8907.418508,9398.041178,9899.061855,10382.283569,10843.201114,11242.102171,11575.609903,11961.686800,12401.172667,12869.588583,13325.539994,13876.050482,14458.956310,15078.538924,15709.456394,16465.954830,17196.201209,17889.000739,18342.389972
WC - Cape Winelands District Municipality (DC2),Female,65-69,6644.154195,6705.799185,6782.902813,6908.484238,7085.109957,7323.408617,7685.313715,8118.270498,8595.585081,9078.753128,9554.971472,9979.040820,10364.247791,10765.587755,11194.538632,11633.662012,12062.903758,12578.875215,13126.184171,13535.192431
WC - Cape Winelands District Municipality (DC2),Female,70-74,4802.553918,4911.929576,5020.799399,5109.279875,5172.947326,5212.752621,5268.205009,5356.556529,5545.182002,5795.734321,6114.730362,6517.460299,6954.558289,7369.474039,7767.126362,8148.012000,8506.505325,8850.748983,9212.487851,9455.583710
WC - Cape Winelands District Municipality (DC2),Female,75-79,3604.273773,3431.482684,3312.759981,3280.460612,3334.159152,3468.688221,3592.838890,3661.179153,3715.198460,3727.674949,3748.055516,3811.199506,3946.839029,4167.491865,4473.985278,4786.346216,5082.567364,5368.725883,5809.348197,6005.051459
WC - Cape Winelands District Municipality (DC2),Female,80+,2521.757363,2619.439785,2700.716280,2779.718105,2857.040504,2839.907444,2826.626218,2794.966517,2791.925234,2797.308094,2859.777537,2922.571068,2987.085353,3056.583595,3132.364207,3286.880305,3447.261273,3610.526565,3776.705496,3943.221905
WC - Overberg District Municipality (DC3),Male,0-4,9947.838667,9920.719153,9924.677939,9971.400417,10068.713901,10332.604840,10757.433060,11193.715544,11644.927408,12048.879904,12366.378109,12643.751504,12900.689501,13116.017133,13295.753711,13602.448891,13888.432494,14067.151031,14170.177605,14244.066999
WC - Overberg District Municipality (DC3),Male,5-9,9634.890686,9619.063927,9654.816764,9685.775133,9698.145271,9745.437381,9772.099086,9814.459569,9914.181790,10123.906446,10525.354945,10997.599675,11392.459742,11749.068807,12036.674404,12301.874035,12552.166027,12806.745055,13025.398592,13177.158868
WC - Overberg District Municipality (DC3),Male,10-14,9462.545486,9469.906298,9467.513094,9501.307921,9558.739060,9637.255503,9652.106413,9744.481946,9845.866866,9889.657027,9857.537112,9806.172566,9850.692818,10031.200039,10313.593912,10723.414879,11169.400709,11552.290419,11915.300629,12237.179607
WC - Overberg District Municipality (DC3),Male,15-19,9031.556753,9427.781450,9663.908755,9720.727482,9572.116303,9894.069950,10137.736868,10203.239270,10137.561066,10030.175338,10210.344489,10338.653953,10408.004008,10323.401423,10133.539386,10229.420811,10320.378837,10404.247787,10493.410822,10622.200878
WC - Overberg District Municipality (DC3),Male,20-24,8487.231422,8891.100483,9442.600502,10017.340735,10560.406098,10963.478692,11311.247737,11698.445593,12092.451717,12293.961286,12304.212077,12298.811429,12278.743232,12301.703998,12347.514362,12284.882883,12225.919955,12244.022295,12214.902442,12093.752713
WC - Overberg District Municipality (DC3),Male,25-29,9492.949167,9288.507139,9173.140149,9231.591498,9548.173327,9915.718084,10492.002637,11184.820229,11888.859776,12635.779433,13064.607934,13436.786712,13851.677906,14254.638482,14481.831971,14462.913401,14432.194948,14421.898611,14446.149588,14471.336333
WC - Overberg District Municipality (DC3),Male,30-34,9483.674564,9674.586930,9767.780584,9795.590616,9726.531874,9721.581630,9710.329766,9717.556987,9832.873264,10197.598552,10678.211087,11322.580359,12002.514718,12618.427074,13262.393796,13865.961290,14366.928393,14806.681322,15109.085832,15151.871477
WC - Overberg District Municipality (DC3),Male,35-39,8426.377257,8548.375874,8694.652772,8846.034705,9027.306125,9262.747360,9472.518686,9646.324130,9806.836477,9897.872888,9850.828757,9806.857487,9829.658951,10000.556917,10397.487147,10865.311561,11497.149562,12208.632743,12884.601156,13528.971937
WC - Overberg District Municipality (DC3),Male,40-44,7020.934669,7241.853129,7426.740045,7585.058316,7730.219196,7926.104757,8114.790756,8322.035263,8525.130742,8785.715723,9036.814846,9266.963926,9451.654084,9610.780053,9692.387222,9704.759495,9712.953348,9761.371569,9926.992145,10270.715946
WC - Overberg District Municipality (DC3),Male,45-49,5620.283976,5792.657972,5984.024199,6178.340298,6365.635390,6562.778132,6774.793002,6983.899791,7203.210616,7444.944457,7635.216379,7824.455095,8039.772056,8255.380113,8515.071308,8789.294014,9034.302812,9223.991377,9390.231514,9435.349829
WC - Overberg District Municipality (DC3),Male,50-54,4762.536355,4823.441538,4885.715098,4964.627331,5063.631618,5178.682309,5337.013381,5528.545147,5745.788795,5986.464741,6186.629961,6394.737782,6601.229169,6813.458771,7037.572117,7255.785416,7465.981420,7688.298968,7908.788965,8121.932728
WC - Overberg District Municipality (DC3),Male,55-59,3974.324787,4024.997551,4090.085154,4157.008851,4226.396133,4319.621336,4387.839499,4453.985804,4538.766498,4655.127284,4793.777526,4967.548913,5156.186763,5346.835030,5542.631873,5765.645738,5992.245388,6202.510992,6407.408199,6569.307249
WC - Overberg District Municipality (DC3),Male,60-64,3722.396729,3660.457143,3604.238121,3562.819680,3551.499398,3560.568877,3608.131716,3680.523518,3769.541292,3869.909155,3952.360022,4019.635491,4093.908569,4186.322648,4299.023640,4421.367948,4581.088887,4763.361971,4958.227620,5087.381028
WC - Overberg District Municipality (DC3),Male,65-69,3181.190448,3203.023400,3236.896508,3257.702529,3248.248827,3197.856370,3143.442183,3103.160034,3093.078154,3122.187612,3137.778409,3186.408707,3255.690167,3335.007435,3422.936408,3486.395409,3540.113607,3607.124896,3697.429889,3745.076968
WC - Overberg District Municipality (DC3),Male,70-74,2179.117708,2243.525119,2286.175538,2326.998521,2368.003292,2411.304380,2462.445216,2519.712812,2564.600738,2585.385179,2565.865389,2539.086840,2518.517103,2513.152064,2533.293986,2554.678596,2592.014552,2636.588505,2683.157635,2675.335377
WC - Overberg District Municipality (DC3),Male,75-79,1220.260050,1227.807370,1252.369936,1289.665832,1343.303222,1373.239460,1407.782613,1444.503024,1507.279531,1591.961530,1661.108278,1730.668290,1795.668081,1840.266916,1856.284992,1848.267275,1833.156378,1819.780609,1833.198736,1791.857508
WC - Overberg District Municipality (DC3),Male,80+,625.494677,655.966160,683.078163,714.939744,754.474195,773.761473,792.575926,811.509984,833.460386,857.640571,899.589948,941.082578,980.555710,1026.144941,1078.327374,1133.761009,1189.941187,1246.315357,1302.144806,1354.764383
WC - Overberg District Municipality (DC3),Female,0-4,9655.658021,9580.769954,9522.787126,9498.695101,9521.394671,9666.680077,10043.475838,10497.803716,11006.494076,11487.781419,11816.893792,12114.374904,12390.680500,12621.987951,12819.310738,13080.533271,13345.430088,13534.921892,13672.158264,13781.700789
WC - Overberg District Municipality (DC3),Female,5-9,9459.277875,9435.707667,9483.836173,9552.296198,9607.414719,9630.577930,9597.116948,9556.679267,9580.835732,9756.708760,10125.914735,10580.334081,10997.110251,11412.325745,11763.142443,12024.498999,12277.127876,12550.564597,12808.162383,13018.896860
WC - Overberg District Municipality (DC3),Female,10-14,9359.581779,9387.034857,9360.593006,9329.794992,9323.326760,9442.465838,9527.017172,9654.487696,9745.634462,9743.299532,9723.594605,9661.297926,9642.296594,9730.055536,9949.093769,10410.214280,10922.485913,11339.650548,11697.813118,11991.063179
WC - Overberg District Municipality (DC3),Female,15-19,9233.116516,9550.708017,9770.531401,9878.964080,9812.574532,9974.728321,10080.767862,10087.389536,10059.701280,10039.988734,10151.605880,10256.686304,10371.865057,10385.525376,10293.056900,10282.828299,10263.861420,10289.890995,10399.809186,10602.334016
WC - Overberg District Municipality (DC3),Female,20-24,8212.096249,8621.647349,9147.446356,9698.344099,10214.880112,10608.666556,10959.538656,11292.241657,11587.683052,11714.179923,11704.439913,11670.198927,11621.956270,11619.001493,11668.321338,11657.371625,11660.609453,11725.202099,11729.544174,11636.002169
WC - Overberg District Municipality (DC3),Female,25-29,8545.151713,8383.468490,8279.267049,8319.796236,8575.603601,9008.161916,9604.228116,10323.543465,11006.274505,11668.838807,12065.424699,12422.297753,12767.941853,13062.705672,13195.354767,13176.671386,13141.433449,13110.988983,13111.603242,13123.844800
WC - Overberg District Municipality (DC3),Female,30-34,8852.008183,8807.694755,8703.879572,8573.993217,8476.825794,8510.306302,8501.270617,8568.856075,8749.011832,9135.647264,9656.009651,10299.818078,10986.096208,11622.599496,12235.902424,12722.236899,13147.098185,13505.101898,13753.100205,13779.167736
WC - Overberg District Municipality (DC3),Female,35-39,8208.763933,8322.300506,8432.312595,8474.671372,8433.767637,8426.790820,8434.000841,8473.417354,8532.997592,8644.208950,8686.033376,8696.170941,8780.856408,8998.093567,9412.790271,9932.790001,10570.658343,11259.062729,11909.024893,12497.060628
WC - Overberg District Municipality (DC3),Female,40-44,7177.740724,7273.055026,7341.845918,7420.303338,7510.790033,7634.558636,7782.519009,7969.406554,8124.582111,8244.450524,8287.985457,8350.871703,8404.588768,8463.232185,8567.387351,8657.836167,8707.085989,8810.615014,9031.395549,9418.208291
WC - Overberg District Municipality (DC3),Female,45-49,5995.944393,6149.093770,6281.072656,6385.091650,6465.966172,6622.004946,6741.478721,6863.909693,7025.709379,7227.178387,7397.395705,7590.778047,7795.077623,7948.493916,8052.351495,8126.375164,8213.057130,8282.172620,8354.432238,8441.950835
