Dis_code,Age,Sex,District,Local,Loc_Code,Province_Code,Dis_Cod,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
DC10,35-39,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2765.6997361251,2756.73208000085,2743.84408074638,2717.10114969382,2681.67458747906,2642.53927600136,2621.21499315675,2610.4341957838,2593.61835463762,2577.49997648479,2545.90974947671,2491.76245375029,2443.46603457532,2419.98377778922,2443.87433500322,2502.68863706901,2587.86007791127,2677.19902707233,2746.64437576597,2792.38578995745,2807.71877850835,2805.10551829828,2785.25912686396,2743.15808408528,2660.58097741202,2585.14049898597,2499.79058295351,2402.98326376333,2306.85465354375,2219.17103938821
DC10,40-44,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2520.5268520453,2522.46722571246,2522.78914769185,2524.64837415473,2523.16641851073,2495.54475763175,2466.97660094932,2449.28541136049,2429.96414007467,2412.18977195045,2391.21567431989,2387.80460172094,2386.42271020698,2379.50661993161,2370.22893631322,2342.6849024258,2292.4647648625,2248.68714552705,2231.05738815446,2250.96136526101,2295.58500723167,2361.52181448242,2432.76999448223,2491.42327236205,2534.60953984998,2552.88545467117,2555.18182978374,2544.91859004709,2517.00805303107,2451.3655905232
DC10,45-49,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2358.75506510655,2358.40703292861,2344.89412552649,2328.79083621683,2318.05361410876,2322.83065593835,2321.57279990717,2323.32226441349,2332.46996942415,2344.71612636774,2346.76620319574,2347.85264075271,2350.54080399506,2345.47150964847,2338.35030199135,2333.92111954329,2343.18195438369,2349.60253692992,2348.59608744668,2338.14626451391,2318.62327520012,2276.15360693985,2236.80376533611,2221.34386082098,2247.12224679319,2311.45571521685,2396.64473957007,2485.69800149015,2561.02524574284,2622.1407254108
DC10,50-54,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2048.16392993039,2054.13040804514,2066.82370694598,2068.92645229454,2061.30515991685,2046.15864257961,2033.49862857,2015.25602984994,2003.14430465183,1998.78779854755,2013.98891404942,2023.95826377604,2033.01301082648,2043.56223858593,2053.02005426657,2051.41966184136,2048.83883814495,2046.47262390855,2038.12372464351,2019.38492679345,2003.45579840758,2000.54669233484,1995.57595874615,1984.60260359848,1969.2534695475,1949.14043427813,1908.7466695668,1871.25954029028,1854.14218064467,1871.22278986367
DC10,55-59,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,1694.99228524089,1718.91148125276,1736.5367869979,1752.75499613462,1769.24045499247,1788.39367971046,1804.33251120899,1828.78248137485,1852.74554120976,1872.92655154665,1889.84187976796,1911.57884871376,1926.73337769866,1944.16284393576,1967.15598433782,2004.83847004198,2037.82294648988,2070.30533849203,2106.30377954988,2131.4053783179,2151.17376468228,2174.75832610008,2199.30959242526,2218.16398849496,2232.75272350787,2253.58843108218,2288.07605761691,2320.5935157456,2346.21472073276,2367.54939933971
DC10,60-64,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,1403.75880890085,1391.08124826094,1385.68237564192,1384.83713151365,1390.47470390261,1400.19576235733,1407.12611157146,1408.86294462033,1416.116917195,1425.97290544413,1437.76666638152,1446.46235803575,1461.0795109943,1471.81282244901,1478.05558579596,1478.57145523356,1482.45209883194,1480.79510013019,1480.63706744782,1469.45122530791,1478.51711691259,1488.15897626597,1497.37411284712,1509.31021508399,1520.44160143068,1525.38918888417,1530.98697205544,1536.83876869813,1538.2042349784,1536.53077280503
DC10,65-69,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,1144.32198888617,1165.39171528521,1183.38715640739,1194.81162469946,1197.09944675126,1192.64748616539,1191.97535337526,1196.72644216737,1212.59643628306,1236.34375994841,1266.48500156252,1293.73011539901,1316.73285643567,1339.89120918968,1363.8654372763,1389.91967245186,1412.441666835,1440.2277801286,1464.07034179209,1464.79427080503,1473.17615964545,1492.40244300918,1507.73456041732,1526.42783901375,1549.12767063633,1586.17610651179,1619.53715001104,1652.65957577189,1689.85471176465,1729.38477830137
DC10,70-74,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,778.745420314595,787.075568312487,797.852196165557,809.441647363606,819.842568917569,830.055634141229,843.630186317991,851.157964970802,857.009670359562,856.127675275498,854.650248931671,856.706458563081,862.880156643235,870.57458450048,880.654452103397,894.468707117739,904.837951360511,912.098247840119,919.030281262191,911.79052696114,913.995012014006,917.185941629187,923.257628135242,926.872184343488,927.305327711347,926.465479793856,927.455870595363,925.405591485587,925.108329358254,927.723688701656
DC10,75+,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,1210.96505973543,1171.35201336596,1134.73813881024,1109.32489019371,1095.2778325035,1068.60834255029,1046.34489638397,1023.47080775768,1016.27347385972,1016.35889617857,1027.80001350642,1039.52288841774,1049.60511253247,1056.62793311299,1059.46324068771,1070.33099190268,1089.65303851159,1112.89171825149,1111.506240774,1110.05829382976,1110.26010544191,1115.73959443642,1122.86159109589,1131.31916529932,1139.94692686102,1117.97669917848,1094.31494565699,1070.66480720542,1043.15528695864,1011.78146140217
DC10,0-4,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,1724.40803528562,1732.85751118972,1755.93944572329,1791.85917715112,1838.07006996102,1919.71130904208,2014.27023692149,2094.39966173829,2163.54615980373,2217.84814354843,2234.84106417894,2209.79871324329,2151.32025018354,2064.51839912387,1963.6107612932,1876.41562134545,1815.72920745468,1781.32559329485,1772.01896440942,1782.21446205503,1771.49762186472,1750.37573997557,1721.97737347628,1688.02049202914,1653.03740497985,1648.80868886256,1642.26507912421,1632.52280996004,1619.50956603059,1605.58513120772
DC10,5-9,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,1873.31044285443,1812.67321247162,1770.66616899428,1736.6007120516,1706.83143414377,1682.0448200661,1672.79014995869,1683.81701507789,1713.69095996692,1757.39288131167,1823.0499768128,1902.67066572747,1968.51930565523,2020.17249682975,2042.67017428493,2029.82443836968,1988.13890386874,1921.52226009461,1836.47944180887,1751.95666328595,1685.2915377238,1632.99433897278,1590.70739572268,1556.40761678253,1524.96746639657,1484.792941236,1447.44426372597,1414.74455936143,1385.93409354221,1358.73349276163
DC10,10-14,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,2135.40463855728,2080.63573555395,2017.79528559247,1960.25810903777,1913.59017066335,1852.61809070443,1794.27575221983,1754.25400590139,1723.1596539626,1699.21500127477,1668.36344171519,1654.85964241112,1664.12027968948,1697.50400219499,1752.62708350833,1818.08300818327,1901.33972237084,1972.87515838417,2025.63167986346,2046.96799943216,2015.98972789996,1964.72150512133,1901.68986025729,1834.53838315053,1772.72340113086,1709.93109309589,1660.71886138084,1619.19102729092,1585.88324981235,1562.27229915019
DC10,15-19,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,1952.65466900816,1973.28440810232,1989.70013392053,1992.45973010863,1960.07194732421,1908.23451234953,1847.09922244124,1780.60487053034,1721.88547635032,1673.82802683335,1601.53513706902,1532.96712927126,1485.40334331419,1449.85085330543,1423.38003211622,1380.58147439493,1350.29111957373,1345.31013150334,1366.84746393401,1408.33425003126,1444.35929781304,1493.10229512346,1535.63606828646,1566.94121700804,1576.65715174501,1538.56731312444,1483.08149838583,1425.21231751632,1371.50694414777,1323.758594003
DC10,20-24,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,1393.69231082773,1433.95681159676,1473.53436246773,1500.66072335161,1524.46572285634,1542.96440619918,1543.34506508981,1532.37511517468,1504.98018015932,1448.8342894271,1390.39336818917,1320.26421401434,1239.78368194703,1159.65501098259,1087.09371589979,1026.98038866529,964.782659748495,907.815246880183,849.226675354021,792.47831386703,754.666966013361,719.815073584601,690.626260793549,668.242419019099,653.483214446655,659.964424453653,665.22828788235,656.785373633432,633.891175412299,598.513492594333
DC10,25-29,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,1319.11760350741,1291.75218100888,1265.33269069714,1251.39411889397,1261.564321963,1294.81352803439,1343.39520537439,1391.04375667178,1426.68652441186,1457.53346384659,1484.20278849837,1494.46779117582,1492.76729397916,1472.10048604742,1419.82672950856,1378.3274645733,1324.96455337771,1259.42780036237,1187.00852017735,1111.96637158255,1054.22850376094,997.28084602018,947.038785403972,897.664612238936,848.950380655297,818.779715077924,794.705337035567,779.534084541736,773.723508650206,774.150855820703
DC10,30-34,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,1279.70677003758,1289.00869094159,1292.72592069344,1291.75321458854,1273.91809227269,1240.14189328499,1206.19131666204,1178.68558555618,1166.49342252732,1178.00351129846,1191.88205087284,1220.83991950484,1254.230017857,1280.320313318,1301.46683190567,1307.52481526406,1302.74751065739,1294.04404786357,1272.06688254999,1220.5516820182,1159.52237273376,1092.69581464729,1022.72038209436,956.91286223732,896.243760284037,834.047081686006,775.368207991246,726.237467866851,682.005019862304,641.045047075953
DC10,35-39,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,1218.16001574823,1216.76536089517,1217.5339870001,1219.11629610455,1228.85807913444,1239.51358361864,1249.88667665196,1255.04016259062,1255.52619148714,1245.33952292427,1221.39166862445,1196.11040199033,1175.26257217746,1168.20551781263,1185.19985759895,1209.91420050273,1248.53714347566,1289.38170529788,1320.41687858756,1344.64249284376,1354.49039718184,1353.88433506453,1347.31060770521,1328.17589870219,1284.12066589921,1230.47446695264,1169.61383392311,1103.36687098752,1039.87797746032,982.73875819617
DC10,40-44,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,1077.82933790571,1075.09917836865,1072.84321244139,1069.59138017231,1064.30704959867,1051.04379387127,1035.58732992508,1023.40774493876,1013.65320641743,1013.90219263048,1016.89596107832,1019.12984490888,1016.98707022498,1010.72863899732,993.586810406655,966.680241641248,937.335985910261,910.48133401142,893.223710543363,889.405737076621,890.197455278061,899.463168045691,907.870157468993,908.881447895191,906.362726179152,892.347028075514,869.728231399694,842.134332865941,805.767392845937,754.251231847518
DC10,45-49,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,948.291708196083,938.386970515398,926.857939589899,918.303555295312,915.705243453931,914.57668828735,919.026939666355,924.621874336835,930.684111705016,937.960414360653,943.260109165435,947.276155255958,954.56888698843,964.010793079724,982.072532843116,1006.07567078057,1029.49776248213,1047.58438697211,1061.58959466189,1059.47653716963,1049.60210375501,1037.41867703427,1027.53882451591,1029.54277531891,1051.79727889582,1080.28448474528,1120.32907214387,1161.92937084786,1197.27274077865,1231.80571933559
DC10,50-54,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,767.540304088723,786.194878295573,804.264923534613,818.014236064808,825.320901988446,825.825892005492,824.954709973068,824.346555095796,828.318830532616,839.673572157855,854.789936833601,874.866799525192,896.413220401495,918.271964311956,940.680038834608,962.911582623541,984.398188195279,1008.79650191142,1036.44078285409,1068.26075465023,1111.66634127531,1156.69173506181,1196.6963672091,1232.16913830381,1253.43428679971,1263.93833971627,1270.22102780687,1278.63521902456,1301.52197725473,1351.33139994719
DC10,55-59,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,673.072980528455,665.933932352574,663.166479962619,664.352471319435,669.519995146641,676.47414860024,682.822973382047,689.205051933467,693.512029242115,694.349117821991,691.046937809103,687.093019623309,683.532180599212,682.829138433463,686.620950202303,692.390976493426,700.871736248915,709.601383007613,718.780527245202,723.298276576796,731.74239776125,741.24980463468,753.284929147566,767.689747153417,787.849579250026,812.002216699182,835.429391476539,854.358119467039,868.88606656453,872.840000782934
DC10,60-64,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,633.183719223667,610.603413086209,586.988929570267,566.245558130736,551.987532862291,541.210266751346,534.962981221905,532.101241264563,533.15526734662,538.448260696413,545.93622014057,553.295597620629,560.817069074081,566.067266341836,567.935122977052,568.03211060705,566.900171907453,565.18717448231,565.117915496395,560.136504765052,564.749714497744,574.262878202179,584.42841526954,595.495068881756,606.659753725563,617.392622139574,628.034814560551,640.516378603391,654.409102502124,673.303934241224
DC10,65-69,Male,EC - Sarah Baartman District Municipality (DC10),EC102 : Blue Crane Route,EC102,EC,DC10,487.933760406876,495.387261510759,502.983864101092,503.66131816663,494.743877654026,479.65677572069,461.107105845322,443.105790793718,428.892554688218,419.773792078181,412.892768154451,408.272448910069,405.190481717741,403.938647525965,405.23962675968,410.852463884428,416.372733216001,421.221884015667,423.552932604471,415.535635618119,411.619849742441,409.886982168774,409.00291474513,410.378359699889,413.658914457898,417.72175953432,423.252178638017,429.112747660648,435.559492192679,442.624599913301
